"date","class","lat","lon","Beach","density"
"20160125","female",37.1130160945745,-122.32879934996,"AP",11
"20160125","female",37.1130535354999,-122.328871533703,"AP",10
"20160125","female",37.1130690638367,-122.328898165268,"AP",8
"20160125","female",37.1130792795623,-122.328830423992,"AP",15
"20160125","female",37.1130871126335,-122.328877065972,"AP",12
"20160125","female",37.1131112889562,-122.328887185232,"AP",16
"20160125","female",37.1131204189421,-122.32881656324,"AP",20
"20160125","female",37.1131255935324,-122.328883329609,"AP",19
"20160125","female",37.1131386834422,-122.328835597107,"AP",23
"20160125","female",37.1131526318713,-122.328945389588,"AP",10
"20160125","female",37.1131598636091,-122.32883789672,"AP",22
"20160125","female",37.1131677681938,-122.328880527106,"AP",21
"20160125","female",37.1131691404063,-122.328810811258,"AP",21
"20160125","female",37.1131657232099,-122.328986030623,"AP",4
"20160125","female",37.1131932988395,-122.328894304111,"AP",19
"20160125","female",37.1131953605526,-122.328863386675,"AP",21
"20160125","female",37.1132001319999,-122.328822582146,"AP",20
"20160125","female",37.1132060089988,-122.328806051953,"AP",18
"20160125","female",37.1132101587838,-122.328899611487,"AP",20
"20160125","female",37.1132198396143,-122.328848478836,"AP",17
"20160125","female",37.1132275842166,-122.328815327061,"AP",18
"20160125","female",37.1132284395597,-122.328880894473,"AP",16
"20160125","female",37.1132418358241,-122.328914302622,"AP",14
"20160125","female",37.113256509068,-122.328863085838,"AP",15
"20160125","female",37.1132617276446,-122.328989730301,"AP",9
"20160125","female",37.1132639422233,-122.328894712814,"AP",16
"20160125","female",37.1132787416283,-122.328972433911,"AP",12
"20160125","female",37.1132872743134,-122.328935420308,"AP",15
"20160125","female",37.1133183859263,-122.329002187926,"AP",12
"20160125","female",37.1133222529725,-122.328945196063,"AP",18
"20160125","female",37.1133248355412,-122.328840735573,"APG",14
"20160125","female",37.1133275108589,-122.328969038217,"AP",16
"20160125","female",37.1133460453007,-122.328990969598,"AP",15
"20160125","female",37.1133443205715,-122.328878387303,"APG",21
"20160125","female",37.1133543776495,-122.328964217167,"AP",21
"20160125","female",37.1133516064915,-122.328938167692,"AP",24
"20160125","female",37.1133555304751,-122.32885789417,"APG",17
"20160125","female",37.1133657438005,-122.328829626656,"APG",16
"20160125","female",37.11337090803,-122.328987813061,"AP",18
"20160125","female",37.1133771747123,-122.328959030196,"AP",23
"20160125","female",37.1133774290429,-122.328849389234,"APG",17
"20160125","female",37.1133834898356,-122.329003308494,"AP",17
"20160125","female",37.1133905477661,-122.328862074224,"APG",22
"20160125","female",37.1133918848187,-122.328921630722,"APG",27
"20160125","female",37.1133917450919,-122.329025606798,"AP",15
"20160125","female",37.1133982934542,-122.32881323322,"APG",16
"20160125","female",37.113399152563,-122.32888905418,"APG",24
"20160125","female",37.1134039340513,-122.328845369465,"APG",19
"20160125","female",37.1134099287144,-122.329014443179,"AP",17
"20160125","female",37.1134152603445,-122.328890631208,"APG",26
"20160125","female",37.1134142571604,-122.328945855368,"AP",26
"20160125","female",37.1134133784978,-122.328913841617,"APG",29
"20160125","female",37.1134242652004,-122.328814251489,"APG",16
"20160125","female",37.1134257109652,-122.328837494032,"APG",21
"20160125","female",37.1134312178592,-122.328945577404,"APG",27
"20160125","female",37.1134346913207,-122.329018380982,"AP",17
"20160125","female",37.1134473583065,-122.328834904909,"APG",21
"20160125","female",37.1134482412643,-122.328989200796,"AP",21
"20160125","female",37.1134598154436,-122.328926101474,"APG",23
"20160125","female",37.113463094212,-122.329047441897,"AP",11
"20160125","female",37.1134682298668,-122.328835489085,"APG",19
"20160125","female",37.1134795994836,-122.32895064586,"APG",19
"20160125","female",37.1134844894713,-122.329080429004,"AP",7
"20160125","female",37.1134827149138,-122.328909704754,"APG",22
"20160125","female",37.1134845042652,-122.329018406363,"AP",17
"20160125","female",37.1134935446942,-122.328884477406,"APG",19
